experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,assembly_separation,effective_gate,effective_gate_variance
3974457A05BA475D,131,high_noise,random,0.937500000000,0.937500000000,13.766666666667,6.722005208333,3.721123872173,0.573071957236,0.140663447976
3974457A05BA475D,131,weak_signal,kernel,0.656250000000,0.656250000000,2.285714285714,0.781250000000,2.059550059227,0.228301749621,0.066096707052
3974457A05BA475D,131,weak_signal,constant,0.656250000000,0.656250000000,2.285714285714,0.781250000000,2.059550059227,0.228301749621,0.000000000000
3974457A05BA475D,131,weak_signal,disabled,0.687500000000,0.687500000000,2.227272727273,0.797526041667,1.984778300034,1.000000000000,0.000000000000
3974457A05BA475D,131,weak_signal,sign,0.656250000000,0.656250000000,2.285714285714,0.781250000000,2.059550059227,0.205109489051,0.073039586552
3974457A05BA475D,131,weak_signal,tanh,0.656250000000,0.656250000000,2.285714285714,0.781250000000,2.059550059227,0.380977259091,0.049522784669
3974457A05BA475D,131,weak_signal,random,0.656250000000,0.656250000000,2.285714285714,0.781250000000,2.059550059227,0.222746825630,0.062949236755
3974457A05BA475D,131,sparse_network,kernel,1.000000000000,1.000000000000,9.843750000000,3.417968750000,3.874923475455,0.364790672798,0.124044511584
3974457A05BA475D,131,sparse_network,constant,1.000000000000,1.000000000000,10.062500000000,3.493923611111,3.892004586085,0.364790672798,0.000000000000
3974457A05BA475D,131,sparse_network,disabled,1.000000000000,1.000000000000,10.750000000000,3.732638888889,3.871270619373,1.000000000000,0.000000000000
3974457A05BA475D,131,sparse_network,sign,1.000000000000,1.000000000000,9.812500000000,3.407118055556,3.862416869570,0.344318181818,0.135763171488
3974457A05BA475D,131,sparse_network,tanh,1.000000000000,1.000000000000,10.093750000000,3.504774305556,3.883773060102,0.503834657666,0.083047854855
3974457A05BA475D,131,sparse_network,random,1.000000000000,1.000000000000,10.031250000000,3.483072916667,3.868427034275,0.368190688159,0.125012335629
3974457A05BA475D,149,standard,kernel,0.968750000000,0.968750000000,7.258064516129,3.662109375000,3.912255249414,0.400109031593,0.132971750362
3974457A05BA475D,149,standard,constant,1.000000000000,1.000000000000,7.281250000000,3.792317708333,3.948035582688,0.400109031593,0.000000000000
3974457A05BA475D,149,standard,disabled,1.000000000000,1.000000000000,7.812500000000,4.069010416667,3.875440932088,1.000000000000,0.000000000000
3974457A05BA475D,149,standard,sign,0.968750000000,0.968750000000,7.161290322581,3.613281250000,3.935877917112,0.384410646388,0.146639101332
3974457A05BA475D,149,standard,tanh,0.968750000000,0.968750000000,7.548387096774,3.808593750000,3.922237988577,0.530792866471,0.087303837414
3974457A05BA475D,149,standard,random,0.968750000000,0.968750000000,7.419354838710,3.743489583333,3.902711113542,0.408327053976,0.134690911355
3974457A05BA475D,149,high_noise,kernel,0.968750000000,0.968750000000,12.645161290323,6.380208333333,3.608189697663,0.575076666268,0.140401287466
3974457A05BA475D,149,high_noise,constant,0.968750000000,0.968750000000,12.806451612903,6.461588541667,3.711176870020,0.575076666268,0.000000000000
3974457A05BA475D,149,high_noise,disabled,1.000000000000,1.000000000000,12.843750000000,6.689453125000,3.918908491803,1.000000000000,0.000000000000
3974457A05BA475D,149,high_noise,sign,0.968750000000,0.968750000000,12.645161290323,6.380208333333,3.608189697663,0.569639065817,0.155150400512
3974457A05BA475D,149,high_noise,tanh,0.968750000000,0.968750000000,12.838709677419,6.477864583333,3.770122427954,0.641838842549,0.095592947761
3974457A05BA475D,149,high_noise,random,0.968750000000,0.968750000000,12.709677419355,6.412760416667,3.701913415433,0.576307529295,0.140237078532
3974457A05BA475D,149,weak_signal,kernel,0.687500000000,0.687500000000,2.227272727273,0.797526041667,2.296060344919,0.197496892664,0.047864809509
3974457A05BA475D,149,weak_signal,constant,0.687500000000,0.687500000000,2.227272727273,0.797526041667,2.296060344919,0.197496892664,0.000000000000
3974457A05BA475D,149,weak_signal,disabled,0.656250000000,0.656250000000,2.571428571429,0.878906250000,2.383666779191,1.000000000000,0.000000000000
3974457A05BA475D,149,weak_signal,sign,0.687500000000,0.687500000000,2.227272727273,0.797526041667,2.296060344919,0.172727272727,0.052892561983
3974457A05BA475D,149,weak_signal,tanh,0.687500000000,0.687500000000,2.227272727273,0.797526041667,2.296060344919,0.350368857607,0.035037536298
3974457A05BA475D,149,weak_signal,random,0.625000000000,0.625000000000,2.550000000000,0.830078125000,2.354057509363,0.170591967025,0.030388236266
3974457A05BA475D,149,sparse_network,kernel,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.937861930612,0.317097697163,0.108029532237
3974457A05BA475D,149,sparse_network,constant,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.940483685120,0.317097697163,0.000000000000
3974457A05BA475D,149,sparse_network,disabled,1.000000000000,1.000000000000,10.093750000000,3.504774305556,4.025065106480,1.000000000000,0.000000000000
3974457A05BA475D,149,sparse_network,sign,1.000000000000,1.000000000000,9.593750000000,3.331163194444,3.928241149060,0.302170542636,0.120863505799
3974457A05BA475D,149,sparse_network,tanh,1.000000000000,1.000000000000,9.656250000000,3.352864583333,3.944761870064,0.435596125750,0.072215821029
3974457A05BA475D,149,sparse_network,random,1.000000000000,1.000000000000,9.625000000000,3.342013888889,3.966396555636,0.328707571583,0.112347323461
3974457A05BA475D,173,standard,kernel,1.000000000000,1.000000000000,7.187500000000,3.743489583333,3.548797791024,0.410914100536,0.135204361204
3974457A05BA475D,173,standard,constant,1.000000000000,1.000000000000,7.125000000000,3.710937500000,3.531426376070,0.410914100536,0.000000000000
3974457A05BA475D,173,standard,disabled,1.000000000000,1.000000000000,7.875000000000,4.101562500000,3.691555979196,1.000000000000,0.000000000000
3974457A05BA475D,173,standard,sign,1.000000000000,1.000000000000,7.125000000000,3.710937500000,3.571272495706,0.394736842105,0.148919667590
