experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,effective_gate,effective_gate_variance,total_spikes
C18E63A3EA120D7C,1481,medium_delay,sign,0.479166666667,0.479166666667,10.434782608696,1.302083333333,0.279176755448,0.111237094666,240
C18E63A3EA120D7C,1481,medium_delay,tanh,0.520833333333,0.520833333333,9.760000000000,1.323784722222,0.432252379391,0.068536217182,244
C18E63A3EA120D7C,1481,medium_delay,random,0.645833333333,0.645833333333,7.774193548387,1.307508680556,0.303233073197,0.102520506071,241
C18E63A3EA120D7C,1481,long_delay,kernel,0.520833333333,0.520833333333,9.120000000000,1.236979166667,0.306546694775,0.103873524077,228
C18E63A3EA120D7C,1481,long_delay,constant,0.479166666667,0.479166666667,10.000000000000,1.247829861111,0.306546694775,0.000000000000,230
C18E63A3EA120D7C,1481,long_delay,disabled,0.458333333333,0.458333333333,11.000000000000,1.312934027778,1.000000000000,0.000000000000,242
C18E63A3EA120D7C,1481,long_delay,sign,0.520833333333,0.520833333333,9.120000000000,1.236979166667,0.287360594796,0.114784483354,228
C18E63A3EA120D7C,1481,long_delay,tanh,0.479166666667,0.479166666667,10.043478260870,1.253255208333,0.460462543395,0.069654386222,231
C18E63A3EA120D7C,1481,long_delay,random,0.479166666667,0.479166666667,9.956521739130,1.242404513889,0.325131119206,0.111046551616,229
C18E63A3EA120D7C,1543,medium_delay,kernel,0.750000000000,0.750000000000,7.138888888889,1.394314236111,0.297118783575,0.099972000778,257
C18E63A3EA120D7C,1543,medium_delay,constant,0.750000000000,0.750000000000,7.138888888889,1.394314236111,0.297118783575,0.000000000000,257
C18E63A3EA120D7C,1543,medium_delay,disabled,0.583333333333,0.583333333333,9.857142857143,1.497395833333,1.000000000000,0.000000000000,276
C18E63A3EA120D7C,1543,medium_delay,sign,0.750000000000,0.750000000000,7.138888888889,1.394314236111,0.277447335812,0.110470311663,257
C18E63A3EA120D7C,1543,medium_delay,tanh,0.687500000000,0.687500000000,7.878787878788,1.410590277778,0.423980036772,0.066305119189,260
C18E63A3EA120D7C,1543,medium_delay,random,0.770833333333,0.770833333333,6.891891891892,1.383463541667,0.287732125804,0.095909062264,255
C18E63A3EA120D7C,1543,long_delay,kernel,0.395833333333,0.395833333333,12.578947368421,1.296657986111,0.285566681787,0.094945695344,239
C18E63A3EA120D7C,1543,long_delay,constant,0.333333333333,0.333333333333,14.937500000000,1.296657986111,0.285566681787,0.000000000000,239
C18E63A3EA120D7C,1543,long_delay,disabled,0.395833333333,0.395833333333,13.315789473684,1.372612847222,1.000000000000,0.000000000000,253
C18E63A3EA120D7C,1543,long_delay,sign,0.416666666667,0.416666666667,12.000000000000,1.302083333333,0.264675984752,0.104622607848,240
C18E63A3EA120D7C,1543,long_delay,tanh,0.416666666667,0.416666666667,12.000000000000,1.302083333333,0.422851079705,0.061487827876,240
C18E63A3EA120D7C,1543,long_delay,random,0.416666666667,0.416666666667,11.950000000000,1.296657986111,0.283049189441,0.093815299787,239
C18E63A3EA120D7C,1601,medium_delay,kernel,0.541666666667,0.541666666667,9.653846153846,1.361762152778,0.315855886515,0.107553028345,251
C18E63A3EA120D7C,1601,medium_delay,constant,0.562500000000,0.562500000000,9.370370370370,1.372612847222,0.315855886515,0.000000000000,253
C18E63A3EA120D7C,1601,medium_delay,disabled,0.583333333333,0.583333333333,9.464285714286,1.437717013889,1.000000000000,0.000000000000,265
C18E63A3EA120D7C,1601,medium_delay,sign,0.541666666667,0.541666666667,9.653846153846,1.361762152778,0.297146562905,0.118850483059,251
C18E63A3EA120D7C,1601,medium_delay,tanh,0.562500000000,0.562500000000,9.481481481481,1.388888888889,0.457895330536,0.075473316287,256
C18E63A3EA120D7C,1601,medium_delay,random,0.541666666667,0.541666666667,9.730769230769,1.372612847222,0.306572007143,0.103883923687,253
C18E63A3EA120D7C,1601,long_delay,kernel,0.520833333333,0.520833333333,9.800000000000,1.329210069444,0.250993060986,0.078312478534,245
