seed,variant,gate_timing,gate_mode,gate_perturbation,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_minimum,effective_gate_maximum,finite,voltage_rmse_vs_timing_reference,spike_disagreement_vs_timing_reference
53,emission_time_shifted,emission_state,kernel,time_shifted,420,24,270,26.78571428571429,0.49216654972369805,0.7673273255765455,0.078091495565944,1.497883595553557,0.025835097649251897,276,0.5740740740740741,1.0,0.7664228828301927,0.07809894186594193,269,0.8893404988442946,1.0497419740791838e-16,0.8893404788989527,0.8893405476564188,True,3.909616399385824e-08,0
53,emission_state_shuffled,emission_state,kernel,state_shuffled,420,24,251,24.900793650793652,0.5023718177837817,0.7716691196119246,0.07559852939259844,1.4780781610630527,0.02447860157181052,276,0.5657370517928287,1.0,0.7712546487321547,0.07558657255260774,251,0.7256147825124519,0.09779294357963825,0.1283111212878475,0.8893500508903945,True,8.342867365542734,455
71,reset_kernel,reset_locked,kernel,none,420,24,168,16.666666666666668,0.6144054378509939,0.811570615238443,0.05280108255002745,4.314285703499999,0.1472786609116749,276,0.9464285714285714,1.0,0.811570615238443,0.05280108255002745,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
71,reset_global_constant,reset_locked,constant,none,420,24,240,23.80952380952381,0.5154131653546851,0.811570615238443,0.0,1.461904759346429,0.025617559056872928,276,0.5,1.0,0.811570615238443,0.0,239,0.811570615238443,0.0,0.811570615238443,0.811570615238443,True,7.593112897228999,352
71,reset_event_constant,reset_locked,constant,none,420,24,168,16.666666666666668,0.6144054378509939,0.1283111212878475,0.0,4.314285703499999,0.1472786609116749,276,0.9464285714285714,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
71,reset_distribution_random,reset_locked,random,none,420,24,168,16.666666666666668,0.6144054378509939,0.1283111212878475,0.0,4.314285703499999,0.1472786609116749,276,0.9464285714285714,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
71,reset_time_shifted,reset_locked,kernel,time_shifted,420,24,247,24.503968253968253,0.5096795363814535,0.7771047771951844,0.07271150234070821,1.5778966620557067,0.030092573074903768,276,0.5546558704453441,1.0,0.776690313555022,0.07270404080989955,246,0.8893404944036254,7.320584652165565e-17,0.8893404816082358,0.8893405211440005,True,7.828373529525762,361
71,reset_state_shuffled,reset_locked,kernel,state_shuffled,420,24,233,23.115079365079367,0.5203574080164052,0.78189962565146,0.06988624813718995,1.415195174232164,0.022261720570932675,276,0.5064377682403434,1.0,0.78189962565146,0.06988624813718995,230,0.6974290851750795,0.10922025947275274,0.1283111212878475,0.8893500680207418,True,7.197949456056283,353
71,emission_kernel,emission_state,kernel,none,420,24,247,24.503968253968253,0.5096795355709715,0.7771047770630354,0.07271150231247626,1.5778966620557067,0.030092573074903768,276,0.5546558704453441,1.0,0.7766903135541269,0.07270404081112415,246,0.8893404890255605,6.406695022060623e-17,0.8893404743372669,0.88934050812738,True,0.0,0
71,emission_event_constant,emission_state,constant,none,420,24,247,24.503968253968253,0.5096795351828494,0.8896039640516901,2.9086598456087176e-05,1.5778966620557067,0.030092573074903768,276,0.5546558704453441,1.0,0.8893404890255604,1.232595164407831e-32,246,0.8893404890255605,0.0,0.8893404890255605,0.8893404890255605,True,2.3495756014301598e-08,0
71,emission_distribution_random,emission_state,random,none,420,24,247,24.503968253968253,0.5096795352207398,0.8896039641072905,2.9086598426851213e-05,1.5778966620557067,0.030092573074903768,276,0.5546558704453441,1.0,0.8893404890673869,6.288720738111805e-17,246,0.8893404899814179,5.975883868975681e-17,0.8893404752129274,0.8893405028132589,True,3.4326815333575654e-08,0
71,emission_time_shifted,emission_state,kernel,time_shifted,420,24,247,24.503968253968253,0.5096795371962224,0.7775947468936069,0.07267803442984874,1.5778966620557067,0.030092573074903768,276,0.5546558704453441,1.0,0.776690313555637,0.07270404080902958,246,0.8893404999726332,1.0776205514801333e-16,0.889340482648366,0.8893405451323045,True,3.899721413775834e-08,0
71,emission_state_shuffled,emission_state,kernel,state_shuffled,420,24,234,23.214285714285715,0.5172757219084992,0.7817855608125712,0.07017806790376084,1.5026861999890735,0.026195679180741907,276,0.5427350427350427,1.0,0.7812955896908703,0.07021564442404794,234,0.726727694292247,0.09731029724057229,0.1283111212878475,0.889348698451931,True,8.386737422691072,429
