x,q,kernel,tanh_kernel,gate
-1e-13,-9.9999990000001018e-08,0.10422505381843566,0.10384929235189168,0.55192464617594583
-1e-14,-9.9999999000000018e-09,0.13634565860809011,0.13550699947432263,0.56775349973716127
-1.0000000000000001e-15,-9.9999999900000033e-10,0.13955921941340399,0.13866016847089768,0.56933008423544884
-9.9999999999999998e-17,-9.9999999989999997e-11,0.13988057699789108,0.13897533337361234,0.56948766668680617
-1.0000000000000001e-17,-9.999999999900001e-12,0.1399127127578724,0.13900684831816171,0.56950342415908084
-1.0000000000000001e-18,-9.9999999999900013e-13,0.13991592633387234,0.13900999979713369,0.56950499989856684
0,0,0.13991628339787235,0.13901034996129011,0.56950517498064501
1.0000000000000001e-18,9.9999999999900013e-13,0.13991664046187235,0.13901070012541178,0.56950535006270586
1.0000000000000001e-17,9.999999999900001e-12,0.1399198540378723,0.1390138516009424,0.56950692580047124
9.9999999999999998e-17,9.9999999989999997e-11,0.13995198979785362,0.13904536620135582,0.56952268310067788
1.0000000000000001e-15,9.9999999900000033e-10,0.14027334738234071,0.13936049669048003,0.56968024834524
1e-14,9.9999999000000018e-09,0.14348690818765458,0.14251022438572183,0.57125511219286096
1e-13,9.9999990000001018e-08,0.17560751297731114,0.17382437700897158,0.58691218850448579
9.9999999999999998e-13,9.9999900000100006e-07,0.48254127715966499,0.44827652459030026,0.7241382622951501
9.9999999999999994e-12,9.9999000009999891e-06,1.1383339471651257,0.81385232259796314,0.90692616129898163
1e-10,9.9990000999900015e-05,1.1399162845403052,0.81438590236341024,0.90719295118170518
1.0000000000000001e-09,0.000999000999000999,1.1399163974356954,0.81438594038381984,0.90719297019190992
1e-08,0.0099009900990099028,1.1399274835670901,0.81438967388800021,0.90719483694400016
9.9999999999999995e-08,0.090909090909090898,1.1408513695017879,0.81470057644194172,0.90735028822097086
9.9999999999999995e-07,0.5,1.1587012682642364,0.8206161815273717,0.9103080907636858
1.0000000000000001e-05,0.90909090909090906,1.0977206672571636,0.79967878725705233,0.89983939362852616
0.0001,0.99009900990099009,1.0493595887839664,0.78155725460617154,0.89077862730308577
0.001,0.99900099900099903,1.0427676970441424,0.77897865212425932,0.88948932606212971
0.01,0.99990000999900019,1.0420863684779684,0.77871061679013198,0.88935530839506605
0.049999999999999822,0.99998000039999202,1.042025606192206,0.77868669902881738,0.88934334951440874
0.10000000000000001,0.99999000009999894,1.0420180086077253,0.77868370824459743,0.88934185412229871
0.10000000000000009,0.99999000009999894,1.0420180086077253,0.77868370824459743,0.88934185412229871
0.14999999999999991,0.99999333337777752,1.0420154759660192,0.77868271126396238,0.88934135563198113
0.20000000000000018,0.99999500002499986,1.0420142096238756,0.77868221276378913,0.88934110638189456
0.25,0.99999600001600009,1.0420134498117761,0.77868191366053119,0.88934095683026559
0.29999999999999982,0.99999666667777787,1.0420129432675378,0.77868171425704524,0.88934085712852262
0.35000000000000009,0.99999714286530617,1.0420125814488341,0.77868157182534004,0.88934078591267007
0.39999999999999991,0.9999975000062501,1.0420123100840462,0.77868146500120916,0.88934073250060464
0.45000000000000018,0.99999777778271615,1.0420120990220938,0.77868138191556557,0.88934069095778279
0.5,0.99999800000399997,1.0420119301722479,0.77868131544691921,0.8893406577234596
0.54999999999999982,0.99999818182148759,1.0420117920221865,0.77868126106339441,0.88934063053169721
0.60000000000000009,0.9999983333361111,1.042011676897006,0.77868121574373061,0.88934060787186531
0.64999999999999991,0.99999846154082839,1.0420115794833005,0.77868117739628051,0.88934058869814026
0.70000000000000018,0.99999857143061222,1.0420114959857714,0.77868114452700632,0.88934057226350316
0.75,0.99999866666844439,1.0420114236211964,0.77868111604027912,0.88934055802013956
0.79999999999999982,0.99999875000156246,1.0420113603021552,0.77868109111437522,0.88934054555718767
0.85000000000000009,0.99999882353079583,1.0420113044323835,0.77868106912091695,0.88934053456045847
0.89999999999999991,0.99999888889012345,1.0420112547703411,0.77868104957116546,0.88934052478558279
0.95000000000000018,0.9999989473695291,1.0420112103358636,0.77868103207927408,0.88934051603963704
1,0.99999900000100006,1.0420111703448187,0.77868101633656472,0.88934050816828236
1.0499999999999998,0.99999904761995473,1.0420111341624327,0.77868100209315561,0.8893405010465778
1.1000000000000001,0.99999909090991745,1.0420111012693445,0.77868098914459716,0.88934049457229858
1.1499999999999999,0.99999913043553879,1.0420110712365167,0.77868097732199648,0.88934048866099824
1.2000000000000002,0.99999916666736122,1.0420110437064172,0.77868096648460905,0.88934048324230452
1.25,0.99999920000064002,1.0420110183787199,0.7786809565142101,0.88934047825710505
1.2999999999999998,0.99999923076982256,1.0420109949993019,0.77868094731076254,0.88934047365538127
1.3500000000000001,0.99999925925980804,1.0420109733516882,0.77868093878904987,0.88934046939452494
1.3999999999999999,0.99999928571479602,1.042010953250329,0.77868093087602908,0.88934046543801459
1.4500000000000002,0.99999931034530332,1.0420109345352673,0.77868092350873253,0.88934046175436632
1.5,0.99999933333377788,1.0420109170678735,0.77868091663258765,0.88934045831629382
1.5499999999999998,0.99999935483912594,1.0420109007274061,0.77868091020006402,0.88934045510003201
1.6000000000000001,0.99999937500039071,1.0420108854082155,0.77868090416957214,0.88934045208478607
1.6499999999999999,0.99999939393976134,1.0420108710174589,0.77868089850456368,0.88934044925228184
1.7000000000000002,0.99999941176505192,1.0420108574732156,0.77868089317279021,0.88934044658639511
1.75,0.99999942857175517,1.0420108447029279,0.77868088814568892,0.88934044407284452
1.7999999999999998,0.99999944444475308,1.0420108326420989,0.77868088339787023,0.88934044169893511
1.8500000000000001,0.99999945945975166,1.0420108212332058,0.77868087890669002,0.88934043945334507
1.8999999999999999,0.99999947368448761,1.0420108104247796,0.77868087465188718,0.88934043732594359
1.9500000000000002,0.99999948717975018,1.0420108001706305,0.77868087061527891,0.88934043530763951
2,0.99999950000024995,1.042010790429188,0.77868086678050052,0.88934043339025026
